发信人,时间,内容
涛哥,2018/7/1 1:01,[捂脸][捂脸]
祥子金融服务,2018/7/1 1:01,我要贷款5万可以不
A:tada:老魏:point_left:,2018/7/1 1:01,哎，不干了，回来
#NAME?,2018/7/1 1:02,沫沫，堵了15分钟了，需要报备吗？
^o^平安^o^,2018/7/1 1:02,这个事儿不如少挣不少挣的是这是没有办法的你想想他这一天在外头抓车你知道他跟哪儿抓呀，是不是，
路远,2018/7/1 1:02,你还敢去机场
^o^平安^o^,2018/7/1 1:02,书记，没事儿运气不好的事情，认倒霉呗，
小滴管理员-小月月,2018/7/1 1:02,@风间咖啡 ok
随缘,2018/7/1 1:02,呃这张单的重点就是扣车三十天，
程钱,2018/7/1 1:02,它咬你
程钱,2018/7/1 1:02,它咬你
程焱,2018/7/1 1:02,它咬你
随缘,2018/7/1 1:02,像咱们这的车要扣三十天啊怎么办呢，
涛哥,2018/7/1 1:02,@小滴管理员-小莉?你得，给我俩假，我们才能约会去[捂脸]
涛哥,2018/7/1 1:02,@小滴管理员-小莉?你得，给我俩假，我们才能约会去[捂脸]
涛哥,2018/7/1 1:03,@小滴管理员-小莉?你得，给我俩假，我们才能约会去[捂脸]
龙一,2018/7/1 1:03,那就大大方方的该怎么干怎么干火车站机场不去是吧，剩下的就听天由命了货币该，是不是啊，买不到就盖，
独行侠,2018/7/1 1:03,罚多少钱@A黄国庆?
小滴管理员-沫沫,2018/7/1 1:03,没有提醒您就没事的
A黄国庆,2018/7/1 1:03,三万
小滴管理员-果果,2018/7/1 1:03,哥哥们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还还是正常按照扣车流程进行处理的，所以大家放心接单。
路远,2018/7/1 1:03,哥们真厉害
程钱,2018/7/1 1:03,咬人的出来了，大家小心呀
程钱,2018/7/1 1:03,咬人的出来了，大家小心呀
程焱,2018/7/1 1:03,咬人的出来了，大家小心呀
路远,2018/7/1 1:03,北京人啊
以为,2018/7/1 1:03,@程钱?形象大使
以为,2018/7/1 1:03,@程钱?形象大使
以为,2018/7/1 1:03,@程钱?形象大使
小滴管理员-花花,2018/7/1 1:03,@壹贱妳就笑  哥，建议您联系乘客确认一下情况，如果无法接驾可以取消订单
A黄国庆,2018/7/1 1:03,刚才听公司群里说，好像三万滴滴不给报销
路远,2018/7/1 1:03,有证？
A黄国庆,2018/7/1 1:03,不知道是真假
壹贱妳就笑 ,2018/7/1 1:03,我直接取消吗？
风间咖啡,2018/7/1 1:03,好的谢谢
以为,2018/7/1 1:04,给他们配点文字
以为,2018/7/1 1:04,给他们配点文字
以为,2018/7/1 1:04,给他们配点文字
半步多,2018/7/1 1:04,@壹贱妳就笑 ?[捂脸]
^o^平安^o^,2018/7/1 1:04,对啊你说的就是这么个事儿呗，只要想干想挣这个钱怎么办，那你先把他后爸我也没用，其实也不知道他怎么跟哪儿抓是不是你也不知道他什么时候走啊，这些东西是你没法说，
程钱,2018/7/1 1:04,这个我不会
程钱,2018/7/1 1:04,这个我不会
程焱,2018/7/1 1:04,这个我不会
小滴管理员-花花,2018/7/1 1:04,@壹贱妳就笑  如果多次联系不上乘客可以取消订单
#NAME?,2018/7/1 1:04,没有啊！他查他的，我跑我的[偷笑]
小滴管理员-小莉,2018/7/1 1:04,@涛哥 小莉也是也是香菇，连约会的机会都么有
小滴管理员-小莉,2018/7/1 1:04,@涛哥 小莉也是也是香菇，连约会的机会都么有
勿以恶小为之，勿以善小而不为,2018/7/1 1:04,@涛哥?有断袖之癖？
勿以恶小为之，勿以善小而不为,2018/7/1 1:04,@涛哥?有断袖之癖？
涛哥,2018/7/1 1:04,@以为?说啥呢[擦汗]
涛哥,2018/7/1 1:04,@以为?说啥呢[擦汗]
#NAME?,2018/7/1 1:04,井水不犯河水[偷笑]
涛哥,2018/7/1 1:05,@以为?说啥呢[擦汗]
小滴管理员-小莉,2018/7/1 1:05,@涛哥 小莉也是也是香菇，连约会的机会都么有
勿以恶小为之，勿以善小而不为,2018/7/1 1:05,@涛哥?有断袖之癖？
路远,2018/7/1 1:05,[强][强]
笑看人生,2018/7/1 1:05,@粤A51V0电话17502052717单亚南?开你的油车过来，我怕接到出城单，没多少电了
程钱,2018/7/1 1:05,这个行吗
程钱,2018/7/1 1:05,这个行吗
庆华,2018/7/1 1:05,昨天晚上看到的
程焱,2018/7/1 1:05,这个行吗
涛哥,2018/7/1 1:05,你怎么说我兄弟像形象大使[擦汗][擦汗]
涛哥,2018/7/1 1:05,你怎么说我兄弟像形象大使[擦汗][擦汗]
涛哥,2018/7/1 1:05,你怎么说我兄弟像形象大使[擦汗][擦汗]
桑秋多吉,2018/7/1 1:05,还干了今天都七月一号了啊，
涛哥,2018/7/1 1:05,@小滴管理员-小莉?是呗
涛哥,2018/7/1 1:05,@小滴管理员-小莉?是呗
涛哥,2018/7/1 1:05,@小滴管理员-小莉?是呗
?瑩:kissing_heart:寶?,2018/7/1 1:05,你才发下实物招八个人我就发一下啊我这最近最近过中心几乎都是她在帮我塞进点话我嘛呢，厕所拿出生儿子就得成我想把她的婆婆京城精神抬屁股了，营业税金是八九公里整个起步价七八公里起步价的什么样太多了，有皮都有一种鱼长取消要么取消又一波落脚的是你吗爱死你妈不给家她咋子又在么有啊，
以为,2018/7/1 1:05,我说狗
以为,2018/7/1 1:05,我说狗
高大章,2018/7/1 1:05,我们去年的另外一个人家美美家的宝呢，每天想着几时都是留起的留起的那么难还要怎么样呢，或者真的不晓得什么药这个地方酒店还坚持的到好久，
?瑩:kissing_heart:寶?,2018/7/1 1:05,是不是看我胖打通ｏｋ，打工把人下了有几分钟他都没找到工来做下就跑了再这么碰不上那就来啊直接算中心，
以为,2018/7/1 1:05,我说狗
小滴管理员-小莉,2018/7/1 1:05,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
小滴管理员-小莉,2018/7/1 1:05,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
小滴管理员-小莉,2018/7/1 1:05,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
壹贱妳就笑 ,2018/7/1 1:05,我联系上她了但是我过去他不等我他不等我下了不，
庆华,2018/7/1 1:05,4条6还带一个A
壹贱妳就笑 ,2018/7/1 1:05,她不等我然后他也不去不取消订单，
小滴管理员-小莉,2018/7/1 1:05,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
小滴管理员-小莉,2018/7/1 1:05,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
小滴管理员-小莉,2018/7/1 1:06,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
小滴管理员-小莉,2018/7/1 1:06,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
以为,2018/7/1 1:06,是抓车的形象大使
以为,2018/7/1 1:06,是抓车的形象大使
以为,2018/7/1 1:06,是抓车的形象大使
小滴管理员-小莉,2018/7/1 1:06,哥哥姐姐们，针对查车比较多的问题，这个大家不要担心，咱们正常接单就行，如果服务中被扣车，跟我说，咱还是正常按照扣车流程进行处理的，所以大家放心接单。
涛哥,2018/7/1 1:06,我们这些滴哥，滴姐，连谈恋爱的时间都没有
涛哥,2018/7/1 1:06,我们这些滴哥，滴姐，连谈恋爱的时间都没有
??馮 鈺朙??,2018/7/1 1:06,这边那个沫沫啊你赶紧给你公司联系一下给咱们这个担保计划或者是暂停两天还在看看风头在那儿，这老出租车到处都有我这还没出车呢在这个这个地方就有就有那个字画车载这块儿了我这停着了你说这怎么干这个，
桑秋多吉,2018/7/1 1:06,浪开暖风啊，
涛哥,2018/7/1 1:06,[可怜][可怜][可怜][可怜][可怜]
笑看人生,2018/7/1 1:06,本打算冲电等单的，刚到就来了[抓狂][抓狂]
乐逍遥,2018/7/1 1:06,干啥呢，还不回家
涛哥,2018/7/1 1:06,[可怜][可怜][可怜][可怜][可怜]
壹贱妳就笑 ,2018/7/1 1:06,然后他也不去我都打扮然后他走了走走出租车一周了，
李*^O^*^O^*,2018/7/1 1:06,[强]
豪滴汽车,2018/7/1 1:06,一手车源，长期供车，全新大牌大通G10七排座商务车，滴滴美团二选一，滴滴对公可升级专车，包保养，包风险。13761344886朱看清了，风险全包
李*^O^*^O^*,2018/7/1 1:06,都没有怕过
涛哥,2018/7/1 1:06,[可怜][可怜][可怜][可怜][可怜]
涛哥,2018/7/1 1:06,我们这些滴哥，滴姐，连谈恋爱的时间都没有
壹贱妳就笑 ,2018/7/1 1:06,整个纸内容尊严王老这个哦这个自己安装了这个滴滴啊啥子意思哦，
涛哥,2018/7/1 1:06,每天睁开俩眼，就是跑车
桑秋多吉,2018/7/1 1:06,我现在特别饿我要去吃饭了太饿了，
涛哥,2018/7/1 1:06,每天睁开俩眼，就是跑车
柳下闲人,2018/7/1 1:06,可能这个车天天交警查
霹雳手段,2018/7/1 1:06,起雾
??馮 鈺朙??,2018/7/1 1:06,给停两天停着呢就当给我们放假休息了，
你是我的爱人,2018/7/1 1:06,在吗？ [爱心][爱心][爱心]给你介绍一款下分率超高的捕鱼游戏，炸金花、港式五张、牛牛、百家乐 等游戏应有尽有！ 赢了可以兑换现金哦，想玩的直接下载http://www.ffbba.com/j007b.html?bid=03&pid=hqxal8&cid=1182&sid=110082第一次下载有送金币哦
半步多,2018/7/1 1:06,@壹贱妳就笑 ?你往他那里走
^o^平安^o^,2018/7/1 1:06,哎呀这个东西啊怎么说的唉你自己说的上的红绿灯路口，
乐逍遥,2018/7/1 1:06,我吃饭呢
哇塞～楠哥,2018/7/1 1:06,我操真的太牛逼了你现在是非常牛逼的一个人啊，不是一般牛逼的，
涛哥,2018/7/1 1:06,@小滴管理员-小莉?好的，收到
涛哥,2018/7/1 1:06,@小滴管理员-小莉?好的，收到
小滴管理员-花花,2018/7/1 1:06,@壹贱妳就笑  我知道，哥，如果您取消订单有责可以正常操作申诉
独行侠,2018/7/1 1:06,给报销多少钱@小滴管理员-小莉?
涛哥,2018/7/1 1:06,@小滴管理员-小莉?好的，收到
庆华,2018/7/1 1:07,居然挂在北汽车上
壹贱妳就笑 ,2018/7/1 1:07,光大了之后其实机构的，哈哈哈，怎么直接开始行程，
乐逍遥,2018/7/1 1:07,吃完去打麻将
^o^平安^o^,2018/7/1 1:07,那就差不多，非常的给你报价的机型和滴滴形象对不对，全局考虑，只能这样，
宇先生,2018/7/1 1:07,滴滴帮我遗忘了
^o^平安^o^,2018/7/1 1:07,同志们，ｏｋ，上面也应这东西做的好我就不，
壹贱妳就笑 ,2018/7/1 1:07,那新版后把它去了，我自己去了啊，
小滴管理员-小莉,2018/7/1 1:07,咱们是正常按流程处理的@独行侠 
庆华,2018/7/1 1:07,有可能[偷笑][偷笑]
^o^平安^o^,2018/7/1 1:07,@??馮 鈺朙???
人生,2018/7/1 1:07,翻倍了
人生,2018/7/1 1:07,翻倍了
人生,2018/7/1 1:07,翻倍了
以为,2018/7/1 1:07,扣七天，租车钱补吗
独行侠,2018/7/1 1:07,什么流程
以为,2018/7/1 1:07,扣七天，租车钱补吗
李*^O^*^O^*,2018/7/1 1:07,咱们那么多司机，就他们那点警力累死他们也查不过来。
以为,2018/7/1 1:07,扣七天，租车钱补吗
半步多,2018/7/1 1:07,慢慢走。取了你又要申诉
涛哥,2018/7/1 1:07,那你再给我们反应反应，我们滴哥，滴姐的个人生活问题吧
涛哥,2018/7/1 1:07,那你再给我们反应反应，我们滴哥，滴姐的个人生活问题吧
涛哥,2018/7/1 1:07,那你再给我们反应反应，我们滴哥，滴姐的个人生活问题吧
程焱,2018/7/1 1:07,罚款怎么办
程钱,2018/7/1 1:07,罚款怎么办
哥，不帅但很坏,2018/7/1 1:07,@小滴管理员-小莉?如果罚款三万，公司能报多少
你是我的爱人,2018/7/1 1:08,在吗？ [爱心][爱心][爱心]给你介绍一款下分率超高的捕鱼游戏，炸金花、港式五张、牛牛、百家乐 等游戏应有尽有！ 赢了可以兑换现金哦，想玩的直接下载http://www.ffbba.com/j007b.html?bid=03&pid=hqxal8&cid=1182&sid=110082第一次下载有送金币哦
李*^O^*^O^*,2018/7/1 1:08,就给他们打游击战。不累死他们也拖死他们。
以为,2018/7/1 1:08,补了就出
以为,2018/7/1 1:08,补了就出
程钱,2018/7/1 1:08,到时不给报不一样难受
以为,2018/7/1 1:08,补了就出
程焱,2018/7/1 1:08,到时不给报不一样难受
地道川味香肠腊肉13648002783,2018/7/1 1:08,ｕｓｍａ，我发了几单啊在媳妇这边一直没出现，
壹贱妳就笑 ,2018/7/1 1:08,ｍｒ直接撑开整整等死啊怎么一会儿返，
A:tada:老魏:point_left:,2018/7/1 1:08,全额报销
以为,2018/7/1 1:08,罚款垫付
以为,2018/7/1 1:08,罚款垫付
?瑩:kissing_heart:寶?,2018/7/1 1:08,每个人叫你提了吗呀有啊今天做的吗，我也下了这三十多单，我觉得我从来桃源来发现之后我把滴滴成一个球了，
地道川味香肠腊肉13648002783,2018/7/1 1:08,能够销售到还是整了有十来块钱可能十块钱，
?瑩:kissing_heart:寶?,2018/7/1 1:08,第二个卡卡史家那样设置的时候可以跑几趟，看到那么多勒就没的必要就直接算出来的答案拿出来分享泡泡在睡，
以为,2018/7/1 1:08,罚款垫付
别,2018/7/1 1:08,哥们不累啊，跑什么时候那
小滴管理员-小莉,2018/7/1 1:08,@哥，不帅但很坏 扣车联系小莉就可以
壹贱妳就笑 ,2018/7/1 1:08,整个一大次就晓得有好远，大概好多时间也等不起你哒车看到了么眼睛会嘛取消，真的死，
#NAME?,2018/7/1 1:08,不过机场感觉有点虚[偷笑][偷笑][呲牙][呲牙]
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 1:08,功夫好
往前看一点,2018/7/1 1:08,兄弟们  你们的性福来了
程钱,2018/7/1 1:08,对
程钱,2018/7/1 1:08,对
程焱,2018/7/1 1:08,对
壹贱妳就笑 ,2018/7/1 1:08,那么听到没有ｃｏｓ，
程钱,2018/7/1 1:08,提前付
程钱,2018/7/1 1:08,提前付
程焱,2018/7/1 1:08,提前付
小滴管理员-小莉,2018/7/1 1:08,@涛哥 您不怕晚上跪搓衣板嘛
小滴管理员-小莉,2018/7/1 1:08,@涛哥 您不怕晚上跪搓衣板嘛
半步多,2018/7/1 1:08,@壹贱妳就笑 ?不要走太久
三十而立,2018/7/1 1:09,为当年的革命光华那我会被他收入了，
三十而立,2018/7/1 1:09,有一次又过去了所以修过谁呢，
以为,2018/7/1 1:09,全程跟踪指导
以为,2018/7/1 1:09,全程跟踪指导
哥，不帅但很坏,2018/7/1 1:09,@小滴管理员-小莉?我主要问的是罚款怎么解决
以为,2018/7/1 1:09,全程跟踪指导
半步多,2018/7/1 1:09,二十分钟左右。到了点到达
小滴管理员-小莉,2018/7/1 1:09,@哥，不帅但很坏 您遇到了联系我们就行
程钱,2018/7/1 1:09,对的
程钱,2018/7/1 1:09,对的
程焱,2018/7/1 1:09,对的
哇塞～楠哥,2018/7/1 1:09,事故通报  2018年7月1号6时40分  我司司机驾驶员何师傅驾驶天籁牌轿车车号为粤A9D9Z2因疲劳驾驶导致驾驶不慎撞上白云机场柱子，导致自身身体不适与一名乘客受伤的严重交通事故！这次事故的主因是疲劳驾驶，请所有司机师傅注意身体，要劳逸结合，谨记不要疲劳驾驶！
程钱,2018/7/1 1:09,这个有道理
桑秋多吉,2018/7/1 1:09,对
程焱,2018/7/1 1:09,这个有道理
程钱,2018/7/1 1:09,这个有道理
W   殿丶,2018/7/1 1:09,什么福利
涛哥,2018/7/1 1:09,没事[捂脸]
涛哥,2018/7/1 1:09,没事[捂脸]
涛哥,2018/7/1 1:09,没事[捂脸]
壹贱妳就笑 ,2018/7/1 1:09,哎呀这次应该拍不了了真的太不了了，
半步多,2018/7/1 1:09,然后点客服联系不上乘客
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 1:10,是你们公司？
涛哥,2018/7/1 1:10,只要能给我们争取点假
涛哥,2018/7/1 1:10,只要能给我们争取点假:joy:
涛哥,2018/7/1 1:10,只要能给我们争取点假
过客,2018/7/1 1:10,不知真假
桑秋多吉,2018/7/1 1:10,撑死胆大的，饿死胆小的
谢永恒13052247001,2018/7/1 1:10,就喜欢这样的单子
ヅ安之丶若素ち,2018/7/1 1:10,谁有神州甩定位的软件
半步多,2018/7/1 1:10,平台5分钟就给你无责关了。钱立马到[呲牙][呲牙][呲牙]
壹贱妳就笑 ,2018/7/1 1:10,然后呢就通过同事的妈是这个意思哦，
大山,2018/7/1 1:10,他ｏｋ了我们把我爱的们了撒单头烧红了就卖了被他骗了哈他们哪个单，
?瑩:kissing_heart:寶?,2018/7/1 1:10,也照错了位置不是太偏的还是不容易把你甩了我这还不是这样子干的，我有几天要全部都是在沙湾我都选我都没有着急用的话，
快车,2018/7/1 1:10,本来就是人家那个去区的一下提高了啊，同样怕十二个小时啊，我们总要保持个小时，人家六岁过来的产品都有，人家怕死了，那我们的产品而且人家还有一个的吗，人家有奖励的网络，
哇塞～楠哥,2018/7/1 1:10,不是不是不是，
壹贱妳就笑 ,2018/7/1 1:10,那么死也好死也好，
#NAME?,2018/7/1 1:10,你们关闭机场火车站了吗？
冒险王,2018/7/1 1:10,第二次医院理论作为医院里头来个三楼上去吗我说上午不去，
追风,2018/7/1 1:10,北京每个角落都爆单了
壹贱妳就笑 ,2018/7/1 1:10,[偷笑][偷笑][偷笑][偷笑]
半步多,2018/7/1 1:11,我都是这样弄。花花没跑过。她不知道[捂脸][捂脸]
三十而立,2018/7/1 1:11,[强][强][强][强]
独行侠,2018/7/1 1:11,罚款三万，加上扣车的期间的车租呢，扣一个月好几千呢[流汗]
~鸟~,2018/7/1 1:11,那里小区...
三十而立,2018/7/1 1:11,对啊我的也没发啊，
以为,2018/7/1 1:11,对呀，到时候拒绝吗，让涛哥有多大了他说还没我大，要不然让我的媳妇或者是嫂子做的饭，大家一块儿吃饭是吧，约会也不见得都非的说但是那女的那么这儿约会哈，
以为,2018/7/1 1:11,还有咱们那个，
甩位定位模拟机场绕圈跑,2018/7/1 1:11,问群主
半步多,2018/7/1 1:11,这样三单后。大单子立马来[捂脸][捂脸]
#NAME?,2018/7/1 1:11,@小滴管理员-沫沫?
弓力,2018/7/1 1:11,十二万ｓｏｍｅ，到十一点过点点到十一点多钟帮我刷到龙泉那边，我到龙泉都十二点过了结果没办法就说我简直是晕了么有抛弃京城打卡的好像好多都出现了那种情况，
壹贱妳就笑 ,2018/7/1 1:11,因为确实拍的太远了这个七十七功率节能，我第一次也都说实话的自己的以前一直是在高架桥上面提供的基本结论，但是这个是平罗也不太搞得起来也不是傻子他看见了就觉得这个东西就是定位真的有问题，
以为,2018/7/1 1:12,那个罚款我就担心他报复，如果像这么检查下去他一天要打几千辆几百辆车滴滴公司能以那么快的速度给报了，每天都有督察这么多每天都在爆滴滴公司又不是进钱的又不是印刷厂，他要到时候不给报了还不是谁出了谁闹心啊，
以为,2018/7/1 1:12,那个罚款我就担心他报复，如果像这么检查下去他一天要打几千辆几百辆车滴滴公司能以那么快的速度给报了，每天都有督察这么多每天都在爆滴滴公司又不是进钱的又不是印刷厂，他要到时候不给报了还不是谁出了谁闹心啊，
小滴管理员-沫沫,2018/7/1 1:12,@-林子琪ヽ摆渡人????   在的呢
高会祥（17502166131）,2018/7/1 1:12,@王有胜17502119313?咋啦？
龙一,2018/7/1 1:12,哎呀这他妈就跟赶上过去那个日本人搜狐地下党了，这是要赶尽杀绝啊，
卖笑人,2018/7/1 1:12,"@祥子金融服务?,确定要做？"
以为,2018/7/1 1:12,就我这一个月挣着四五千块钱我给她垫付了要罚两万的话我这半年都白干了，这有点儿太不划算了我从昨天我都开始担忧我今天都出车我都心惊胆战，每一个单子我都说了车门一看乘客没事儿然后我才开车门，就这我觉得也有风险万一人家人多围围堵在车前面跑也跑不了啊吃难肥啊，
以为,2018/7/1 1:12,就我这一个月挣着四五千块钱我给她垫付了要罚两万的话我这半年都白干了，这有点儿太不划算了我从昨天我都开始担忧我今天都出车我都心惊胆战，每一个单子我都说了车门一看乘客没事儿然后我才开车门，就这我觉得也有风险万一人家人多围围堵在车前面跑也跑不了啊吃难肥啊，
哥，不帅但很坏,2018/7/1 1:12,看来滴滴也不能给个说法啊！
程钱,2018/7/1 1:13,唉啥呢什么呀，现在滴滴打客服都打不通没人接电话，比比客服现在都还能认识叫什么呢我才不了那他这咋了你怎么办，睡觉睡完觉以后晚上回家抱媳妇儿了，
涛哥,2018/7/1 1:13,@以为?[惊恐][惊恐][惊恐][惊恐]
程钱,2018/7/1 1:13,唉啥呢什么呀，现在滴滴打客服都打不通没人接电话，比比客服现在都还能认识叫什么呢我才不了那他这咋了你怎么办，睡觉睡完觉以后晚上回家抱媳妇儿了，
涛哥,2018/7/1 1:13,@以为?[惊恐][惊恐][惊恐][惊恐]
露露,2018/7/1 1:13,亲们[爱心]给大家介绍这款游戏真心不错，娱乐赚钱两不误[强][强][强]首次下载免费领取现金币，下分率超高。赢了还可直接提现，输了可以不玩。唯一官方下载地址www.es6china.com/j007a.html?pid=hqxal8&cid=1127&sid=110027 第一次下载有送金币哦
涛哥,2018/7/1 1:13,@以为?[惊恐][惊恐][惊恐][惊恐]
祥子金融服务,2018/7/1 1:13,@卖笑人?嗯
香帅,2018/7/1 1:13,@古德先生?那边单子怎样
路远,2018/7/1 1:13,关了
宇先生,2018/7/1 1:13,:unamused::unamused::unamused::unamused::unamused:
哇塞～楠哥,2018/7/1 1:13,公司没这么我们公司没有这么多人才啊，马的ｔ二航站楼到那里他们能撞上去，真他妈是人才来的，
小滴管理员-小莉,2018/7/1 1:13,@哥，不帅但很坏 服务中被扣车了，跟我说，我记录 会有相关人员处理
蒋洪,2018/7/1 1:13,我送一个乘客到通州来了，这是一个题就是发现慢慢往回溜达，
冒险王,2018/7/1 1:13,刚才拉俩小姐我擦在这聊天没把我逗死我说顾客觉得在群里说的八拉八了顾客那个基本扒拉半天扒拉半天没找着没找着我了啊，
祥子金融服务,2018/7/1 1:13,不过，互联网征信不佳
卖笑人,2018/7/1 1:13,@祥子金融服务?:heavy_plus_sign:
古德先生,2018/7/1 1:13,还可以
地道川味香肠腊肉13648002783,2018/7/1 1:13,今天一直都在西亳有刚才第二个就是高水的嘛居然不在媳妇转，
蒋洪,2018/7/1 1:13,我到这边我就说的是比较顺路的，就十多公里也不远点，现在接了一单，
小滴管理员-小明,2018/7/1 1:13,咱们开车一定要注意安全，注意劳逸结合哦[拥抱]
香帅,2018/7/1 1:13,滴滴还是美团
杜鹃君,2018/7/1 1:13,在吗？ [爱心][爱心][爱心]给你介绍一款下分率超高的捕鱼游戏，炸金花、港式五张、牛牛、百家乐 等游戏应有尽有！ 赢了可以兑换现金哦，想玩的直接下载http://www.ffbba.com/j007b.html?bid=03&pid=hqxal8&cid=1182&sid=110082第一次下载有送金币哦
独行侠,2018/7/1 1:13,你的有细则的东西出来
古德先生,2018/7/1 1:14,美团
A黄国庆,2018/7/1 1:14,@哥，不帅但很坏?小莉不负责这个，
程钱,2018/7/1 1:14,唉这个鸡巴怎么着就吸引一片，那明天再歇一天后天歇一天，联系翻天，到时候再说啊要不就晚上跑晚上跑步够食堂我也得跑，我没办法我就是长了，
马亚东 16605303770,2018/7/1 1:14,毛线
马亚东 16605303770,2018/7/1 1:14,我想回家
古德先生,2018/7/1 1:14,这边都是毛单
香帅,2018/7/1 1:14,@AA付国军?@古德先生?你们两可以来一次偶遇
独行侠,2018/7/1 1:14,反正我不敢出车
庆华,2018/7/1 1:14,:cn::cn::cn:亲爱的小伙伴们，假如上半年混的不好，千万不要气馁。
马亚东 16605303770,2018/7/1 1:14,她中途买东西，先去饭店又去超市的
香帅,2018/7/1 1:14,美团毛蛋太多
杨紫涵,2018/7/1 1:14,今天是不是查的特别严？
杨紫涵,2018/7/1 1:14,今天是不是查的特别严？
回不了神,2018/7/1 1:14,小明小明，我已经很注意安全了，也注意劳逸结合啦，你赶紧我在南站呢，我拍个机场呢，拍好收工了，
杨紫涵,2018/7/1 1:14,今天是不是查的特别严？
独行侠,2018/7/1 1:14,赚的少罚的多
禅,2018/7/1 1:14,秦80，卖的谁有
#NAME?,2018/7/1 1:14,@小滴管理员-沫沫?
#NAME?,2018/7/1 1:14,没没没没没，那堵车堵的太狠了然后呢乘客取消了我也不先说我有责任，
以为,2018/7/1 1:14,对呀你们晚上跑到是跑习惯这我这晚上跑我有点担心我有点担心反正是晚上没怎么出过门，到哪儿尤其到那郊区黑蛐蛐的看着也挺狠的就是人，昨天晚上打了一下雨，哎呦，那一个人叫我的凄惨啊，
