群名,发信人,时间,内容
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:56,今天你看看还有几场单子拍她然后就算了，接下来的一天了累都累死了，我的妈呀饺子我还信你就说的人家都经常来发财，我到机场来泡茶不想来这里不下了，
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:53,哎哟有的排到机场来了，
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 3:55,@玲美好 苏A5PD32 我现在买机票去南京，
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:54,@小滴管理员-小红?
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 3:56,出票中，等着我啊
【25416011】精鹰担保共创群,苹果,2018/7/6 3:58,板等
【25416011】精鹰担保共创群,苹果,2018/7/6 3:58,给我等我零点等我我马上就到马上就到，
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:59,我觉得这样子我就走不得了我得买我不喜欢这个地方这个地方是在让人心累，
【25416011】精鹰担保共创群,玲美好,2018/7/6 3:57,为什么在俺家里，肯定要空发的呀，
【25416011】精鹰担保共创群,潘祥,2018/7/6 4:08,他自由不是时间控制你妈休息是选休几点休几天，
【25416011】精鹰担保共创群,玲美好,2018/7/6 4:06,我今天还没干活呢，叫她二百多块钱又换了一个电瓶三百块五百块五百多块钱都出去了才跑了三百三百多三百五十块有十块钱过路费，卧槽，
【25416011】精鹰担保共创群,潘祥,2018/7/6 4:05,除非班主任碰到开放啊叫注册码肯定不可能去住的那叫钱太多了一个月三千六七对不对，
【25416011】精鹰担保共创群,玲美好,2018/7/6 4:17,你想想看，你那个也没有，哪个给你上套子经营要怎么样呢，费用怎么样呢，厨艺怎么样啊你别管他你想跑就跑不想跑就不跑不如表面更自由吗，为什么你要想这么多的，不要想那么多好多事情正在这里不是你想要拥有的，顺其自然顺其自然，
【25416011】精鹰担保共创群,Ray,2018/7/6 4:45,等等吧等等吧，
【25416011】精鹰担保共创群,Ray,2018/7/6 4:42,大姐你接到回来的单了吗？
【25416011】精鹰担保共创群,邹羽辉,2018/7/6 4:49,任务都是奖励十块十五，
【25416011】精鹰担保共创群,玲美好,2018/7/6 4:44,在一哈都给人家接跑了什么热的人抢，哎哟不要烦，
【25416011】精鹰担保共创群,玲美好,2018/7/6 4:48,等最少要等俩小时俩小时不作为跑烦死了真不下来啊，一点也不想来然后要跑几场就好一个社机场，哦一点也不羡慕，
【25416011】精鹰担保共创群,玲美好,2018/7/6 4:59,说说这些有毛线用没有用，有没有呢，呵呵呵呵呵呵滴滴滴滴搞不清搞不清了啊，
【25416011】精鹰担保共创群,邹羽辉,2018/7/6 4:58,二零，ｃｈｒｉｓ，ｐｏｐｏｌｙｕｃｅｌ，
【25416011】精鹰担保共创群,邹羽辉,2018/7/6 5:00,或是尼玛他早上七点多出门的，我早上六点多钟出门，我操你妈，
【25416011】精鹰担保共创群,邹羽辉,2018/7/6 5:02,看看这是发购销好事指定叫注册号滴滴普通司机的奖励，
【25416011】精鹰担保共创群,邹羽辉,2018/7/6 5:00,嗯，米讲我五陈死，只能跑到两百五十度都算好的了，两百四十，
【25416011】精鹰担保共创群,邹羽辉,2018/7/6 5:00,也要补个小时跑了四百里，
【25416011】精鹰担保共创群,潘祥,2018/7/6 5:30,我现在跑滴滴吗，其实我跑现在跑滴滴吗一天也就八个小时，不管他考多少，ｏｋ了是一道回家，我从来不懂，基本上没办法很好，
【25416011】精鹰担保共创群,Mr.sun,2018/7/6 5:58,@小滴管理员-小红?
【25416011】精鹰担保共创群,放,2018/7/6 6:11,小武打个飞机，把他打下来
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 6:00,@Mr.sun 好的，有影响您司机端正常申诉。这个情况小红会去核实反馈一下的
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 6:04,@Mr.sun 哥，你也是挺搞笑的。穿拖鞋的那么多偏偏看到了您[捂脸]
【25416011】精鹰担保共创群,Mr.sun,2018/7/6 6:02,花了五十租门口的保安臭鞋穿
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 6:05,[机智]飘了昂
【25416011】精鹰担保共创群,矫情,2018/7/6 5:59,[嘿哈]
【25416011】精鹰担保共创群,矫情,2018/7/6 5:59,红
【25416011】精鹰担保共创群,宇先生,2018/7/6 5:26,哈哈哈
【25416011】精鹰担保共创群,宇先生,2018/7/6 5:25,干嘛降帧初音啊，
【25416011】精鹰担保共创群,冬天太冷了,2018/7/6 6:13,怕我取消
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:14,你自己回家你往家有里小的了，
【25416011】精鹰担保共创群,潘祥,2018/7/6 7:12,嗯，流水你的公里数吗，肯定要最好要四百公里，对不对，
【25416011】精鹰担保共创群,潘祥,2018/7/6 7:09,卖的啊滴滴不知道哎搞什么套路，嗯，人家也不和规则的，就是普通司机现在要简历一天简历了她妈死不都不干，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:13,在网上加了一个然后看看加了多少钱我就知道跑了多少公里，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:12,把两个四百公里啊，没有四百公里四百公里，质量大的，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:14,加油，应该跟我原来差价也差不多两个七八，
【25416011】精鹰担保共创群,潘祥,2018/7/6 7:25,决斗ｋｏ公里就要加油，的流量，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:11,我是纯流水
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:30,昨天应该是270跑了900左右
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 7:26,大家晚上有没有按时的吃饭啊[愉快]
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:12,我排第二
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:10,[抠鼻]
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:13,爸妈就成他的病好了吗跑了一百多跑了八百然后带她回家，难道九百就差不多了就不好了，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:12,[抠鼻][抠鼻][抠鼻]
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:13,人家跟我们也差不多了，买了四百块了，十四的在脖子上也是死的，不可能达不到大部分都已经两块钱一公里不得了了，那你就不打不到四百七八呢，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:21,现在看还有个有点吧因为我我怎么讲呢你烦也烦了你妈妈的，表示马上充电对不对，你不发吗，我觉得比较充电麻烦的，
【25416011】精鹰担保共创群,潘祥,2018/7/6 7:25,我整个威县有大概要追着朋友现在开工了吗追着跑五百公里，
【25416011】精鹰担保共创群,玲美好,2018/7/6 7:29,得把包机场的一半就是平时的歌有啊，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:16,唉要会考差不多你不会跑肯定是不行的就像你会吗，等会拿钱，
【25416011】精鹰担保共创群,潘祥,2018/7/6 7:14,我们跑的不好的时候你买一公里一块五毛钱呢，找不到，
【25416011】精鹰担保共创群,玲美好,2018/7/6 7:23,嗯张家华滴滴咯有你打空调能跑多少公里啊，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:14,那么是什么五肯定不止啊知道了啊在跑场单子最多最多顶到天两个讲话钱一公里不得了了，撑死了这是称死撑死了，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:38,要是去的话有点饱了就行，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:32,你们市场他是那流水但是血不加他的他有一个谜底上跑道短，车费收的多就是你车算下来其实应该是差不多的，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/6 7:22,有一项不得这个点啊什么啊前面来的比较早，后面，快点治疗，我觉得这个教训也不也是的吗那个那个表开始掉了什么都能跑到一百六十，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:43,在南京站
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:48,肯定嘛给我来大柳河的吗，哦就是哦回家了啊在跑个一百多块钱我就能收工了，也不想跑了，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:44,我妈送过去让生活成了到付怎么样，好嘛在打听一下，我无所谓有道理就行，到机场也行我到那都，我觉得反正放歌就能跑吗，对吧，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 7:48,这件事一个小时啊，嗯嗯，
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/6 10:00,又到了小红跟大家说晚安的时间了哦。小红要下班了。[鼓掌]晚上出车的哥哥们，下雨要注意安全哦，有问题私聊小红明天回复哦[拥抱]
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 11:30,但是要我去我妈肯定不回来我肯定是第二天一大早的动车回来，
【25416011】精鹰担保共创群,渣渣廣,2018/7/6 11:30,对吧然后就在车子里面撤回吗？
【25416011】精鹰担保共创群,苹果,2018/7/7 7:37,哎呀，还记得一个文字渣车的人实在受不了啊，怎么一个小伙子怎么身上这么臭的呢，那叫车，
【25416011】精鹰担保共创群,一棵树,2018/7/7 7:50,吃鸡不好吗
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 7:51,烦恼不搁在心里，它就无处可藏；快乐要挂在脸上，笑一笑就有灿烂阳光；放慢生活的节奏，凝结幸福的时间。忙碌之余，也要善待自己[拥抱][玫瑰]
【25416011】精鹰担保共创群,宇先生,2018/7/7 8:56,滴滴太坑了。说我超休息了。这个月才休五天说我休七天了。说我不达标我也是醉了 好坑
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 8:57,您自己7天不达标，都给您找到了，您现在说这些就没有意思了吧@宇惊春南京精鹰一期1群13814145255 
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:27,时间一到直接取消，这种人要来干嘛啊，
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:28,活脱脱的耽误了我一个大单啊，
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:26,到时间就直销，我连车都不给，
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:24,你妈打电话打电话又不接发信息发信息又不看人也不下来呢，
【25416011】精鹰担保共创群,放,2018/7/7 9:33,你把我的已经被吃完了，你是人吗？
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:28,比如说喇叭接个电话，我或许也就等他的电话也不接短信也不看，这种人不是真的是了，
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:29,关个毛机啊，打电话通，想她就是不接，
【25416011】精鹰担保共创群,不忘初心,2018/7/7 9:47,@小滴管理员-小红?谢谢
【25416011】精鹰担保共创群,天堂,2018/7/7 9:34,没劲
【25416011】精鹰担保共创群,放,2018/7/7 9:29,@老顽童?
【25416011】精鹰担保共创群,守望者????????????,2018/7/7 9:33,马上去龙江
【25416011】精鹰担保共创群,不忘初心,2018/7/7 9:49,啊@小滴管理员-小红?
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 9:49,不算今天已经有6天不达标了
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 9:49,@不忘初心 客气了，哥
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 9:48,@不忘初心 接下来不能有不达标的
【25416011】精鹰担保共创群,苹果,2018/7/7 10:28,红小红，我刚刚接个单子打了一下怎么又没有了是不是别人强掉了吗？
【25416011】精鹰担保共创群,苹果,2018/7/7 10:31,哦！谢谢！
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 10:29,退出重新进下
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 10:30,乘客取消了
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 12:34,有满单奖笑死了，一小时搞定十单
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 12:52,吃饱饭就好了
【25416011】精鹰担保共创群,天堂,2018/7/7 12:49,@小滴管理员-小红?我要威胁你你给我长单子吗
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 12:52,吃饭饭
【25416011】精鹰担保共创群,天堂,2018/7/7 12:53,吃过了
【25416011】精鹰担保共创群,天堂,2018/7/7 12:51,@小滴管理员-小红?不会威胁
【25416011】精鹰担保共创群,天堂,2018/7/7 1:02,@Mr.sun?你按喇叭干嘛
【25416011】精鹰担保共创群,天堂,2018/7/7 12:59,@小滴管理员-小红?你还吃啦
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 1:08,我陪他等了八秒绿灯，红灯时候他走了
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 12:56,来，看看这个操作能给几分，我是不是太坏了
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 12:50,@天堂 要不试试
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 1:03,绿灯不走，我催他时候是绿灯
【25416011】精鹰担保共创群,苹果,2018/7/7 1:23,半小时没有单了
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 1:28,导航都坑我，又不是接亲不走回头路
【25416011】精鹰担保共创群,苹果,2018/7/7 2:01,一个人没有拼到贝。
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 3:18,好吧，马克思人家普通司机的，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 3:18,我们，我现在跑了八个小时呢，四百块钱不知道，三百九十，
【25416011】精鹰担保共创群,军哥17502503264,2018/7/7 3:16,@邹羽辉 19951671643?高
【25416011】精鹰担保共创群,大大神,2018/7/7 3:26,听懂了啊这个什么意思，其实这些不代表什么意思，不是没到一起啊意思啊，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 3:34,好五小时ｔｕｔ麻痹半个小时他跑十个小时跑十四个小时，
【25416011】精鹰担保共创群,军哥17502503264,2018/7/7 3:30,这个大大的城啊你好久没出来了吧大成，
【25416011】精鹰担保共创群,军哥17502503264,2018/7/7 3:35,周末哎^_^
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:04,@大大神?有一段时间杨余钢不是也有点消沉
【25416011】精鹰担保共创群,天堂,2018/7/7 4:37,8小时双休
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:40,本来就不如美团
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 4:00,精鹰跑这种单子
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 3:51,@邹羽辉 19951671643?你跑的？
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 4:07,小红在哪，来，谈谈心
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:19,精鹰也就一开始两周跑的舒服
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 4:42,@邹羽辉 19951671643 咱们群里还是商讨滴滴方面业务哦
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 3:52,跑这么点流水，回家会挨老婆打的
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 4:10,想办法对付我们，哈哈，用词恰当
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:04,后台设置的
【25416011】精鹰担保共创群,大大神,2018/7/7 4:38,@天堂?
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:00,@大大神?你这种毕竟是少数
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:10,精英没个精英的样子
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:41,可能还有增长
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:42,城市套路深，我要回农村
【25416011】精鹰担保共创群,大大神,2018/7/7 4:01,是的
【25416011】精鹰担保共创群,天堂,2018/7/7 4:37,一年给你15万你看你还上班
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 3:55,@军哥17502503264?比你还高
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 4:08,前几天我不就说过了吗
【25416011】精鹰担保共创群,冬天太冷了,2018/7/7 3:59,8小时300多，能退了
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 4:35,营运险一万多，这是个大头
【25416011】精鹰担保共创群,小滴管理员-小红,2018/7/7 4:42,@刘旋 苏AD31526 
【25416011】精鹰担保共创群,Mr.sun,2018/7/7 3:57,搞不懂搞不懂，时间花了流水哪去了
【25416011】精鹰担保共创群,大大神,2018/7/7 4:39,小红知道这些领导的份量
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:09,是瞎搞
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:15,反正滴滴男女滴滴他妈的就是畜牲，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:08,然后前两天那个老杆子啊我碰到他我看他跑多少钱四百多块钱十二个小时四百多块钱，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:32,加上一天一百多了啊，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:35,上班什么上班的那几个吊钱啊，我在么就不喜欢上班，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:26,司机事情，哦这就是经营，
【25416011】精鹰担保共创群,军哥17502503264,2018/7/7 3:55,但你知道他比我高还有一个小时五十块钱吗，对吧，两千才三百二十块钱，
【25416011】精鹰担保共创群,大大神,2018/7/7 4:04,轻音异常单的少来承担着一份开来啊知道出一年能尽量不打表也能记得刚开始不一样来回变化来写的，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:28,司机会搞不懂吗那一头掉进，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:13,ｄｉｓｋ，小红其实没有挂失啊懂吗他只是传递传递一下信息，然后那上面会有人来想办法的，
【25416011】精鹰担保共创群,潘祥,2018/7/7 4:51,ｍａｘ，我们九十几人家七十几分，这使得没人要立马写着单词儿是不是一四啊，死过多少次了，哼哼，
【25416011】精鹰担保共创群,A-南京优行婚车商旅 13805152027,2018/7/7 4:13,你们你们应该知道小红应该处于一个什么什么角色，小红就是处在我们跟滴滴公司中间传递信息，把我们这个思想把司机什么思想啊有什么情况汇报上去然后那上面那也是在想办法来对付我们，
【25416011】精鹰担保共创群,渣渣廣,2018/7/7 4:52,然后呢你就不就像我今天骂我的妈的大肠打了三四个小时丁香社区全开一个鸟单子都没有，长跑跑到他妈十几张起步价，那五六分钟一单差不多吧，一个调度来了等个五六分钟发个起步价一个调度来了等个五六分钟发个起步价，跑到有意思嘛吗全职司机谁愿意抛弃对不对有没有奖励又没有什么我们要靠它吃饭的，
【25416011】精鹰担保共创群,渣渣廣,2018/7/7 4:42,啊时候啊现在是什么情况，水军跑滴滴的全职司机估计会越来越少，这是在讲的话难听一点就是美唐没有开卖衙门衙门了啊，ｏｋｌｉｎｅ的比较少很大一片，
【25416011】精鹰担保共创群,大大神,2018/7/7 4:22,对起码一般人不如普通里人跑了一般人哪知道，
【25416011】精鹰担保共创群,天堂,2018/7/7 4:26,对啊说了既然选择ｃａｔ，你再怎么抱怨怎么的有区域营销如去跟领导他们去说大大大大神他有机会能接触领导，应该你去上向上面反应反应，
【25416011】精鹰担保共创群,潘祥,2018/7/7 4:53,其实这种算不尽带回家的对不对说的不对的就应该优先派单，
【25416011】精鹰担保共创群,大大神,2018/7/7 4:50,真的真的小黄是个套路，这个滴滴留个佩戴真的，如果按分排，那就大家就知道爱疯疯疯什么一搞命令收入高，我无话可说，你现在干嘛不是安丰付费，也不知道什么套路在派单系统啊知道很乱，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:51,现在也搞不清楚，你看他妈的普通司机反正天天跑乐对我好我心里很不舒服很不平衡，
【25416011】精鹰担保共创群,潘祥,2018/7/7 4:52,带有一个一的这个点的订单是现金吗我的一个也不抛弃的时候，四月份的时候，算到订单基本上连那到三呢，送到家门口，不管什么时候在任何地方都能立马把我放到家门口，现在哪天不疯的吗二三十公里啊，天天扣吗，然后我今天现在从北京到动物园，
【25416011】精鹰担保共创群,大大神,2018/7/7 4:04,去银行优质单这是经验优先的，好像有变化有变化发的特别机场订单，不适应的初音啊什么都能拿到这些单子都能打对象都听得懂，已经分流了分流这样子会有更多的经营会退出，知道下面不少人会退出的因为他的时候认不得他们普通的都要过来，
【25416011】精鹰担保共创群,Ray,2018/7/7 4:35,你的车损，你的包呀什么东西都不算了啊你是这么多钱啊你算一下你的保险跑了多少，一天多少钱你车的保养什么的东西，我靠你真的就这三个加有吗，自己的车为哥们，
【25416011】精鹰担保共创群,邹羽辉,2018/7/7 4:40,这仅仅既然是金子塔的最顶端，你就应该大多数，
【25416011】精鹰担保共创群,等待,2018/7/7 4:06,小红是欢迎大家提出来省的他天天都这么多，
【25416011】精鹰担保共创群,放,2018/7/7 5:09,另外这个样子搞得政府都在搞传销了啊，昨天打彩票赢了吗？
【25416011】精鹰担保共创群,放,2018/7/7 5:13,哦鼓楼这段时间和早晨七八点中我打电话，这个就不一样了，我早餐今天早上是从八点钟开始到八点五十啊还有四十二五十，实在没有办法我今天晚上上班，我说算了妈的我爸就开始接待模式，
【25416011】精鹰担保共创群,武六七,2018/7/7 5:10,带我一个
